Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,55.250000,55.299999,51.139999,51.720001,51.129524,2743900
2017-11-10,51.750000,53.369999,47.860001,49.060001,48.499893,4078500
2017-11-13,49.049999,52.119999,47.500000,51.139999,50.556141,3103100
2017-11-14,51.939999,55.490002,51.660000,54.919998,54.292984,3781100
2017-11-15,54.919998,54.919998,54.919998,54.919998,54.292984,0
2017-11-16,56.509998,58.990002,55.709999,57.000000,56.349239,3787700
2017-11-17,58.500000,59.970001,58.110001,59.299999,58.622982,2460800
2017-11-20,59.299999,59.299999,59.299999,59.299999,58.622982,0
2017-11-21,60.299999,61.400002,60.000000,60.599998,59.908138,2445800
2017-11-22,60.509998,61.380001,57.209999,60.330002,59.641224,2785800
2017-11-23,59.790001,59.790001,58.000000,58.709999,58.039715,1101000
2017-11-24,58.860001,61.450001,58.240002,61.450001,60.748440,1386400
2017-11-27,62.000000,62.299999,59.000000,59.590000,58.909672,2314600
2017-11-28,59.889999,60.880001,58.369999,58.770000,58.099033,1168500
2017-11-29,58.990002,59.549999,57.529999,58.200001,57.535542,1422800
2017-11-30,58.200001,58.230000,54.869999,56.820000,56.171295,2851700
2017-12-01,57.000000,59.150002,55.240002,58.209999,57.545425,2113600
2017-12-04,59.049999,59.049999,57.200001,57.700001,57.041248,1275600
2017-12-05,57.400002,58.490002,56.360001,57.500000,56.843533,1567200
2017-12-06,57.250000,58.480000,56.650002,58.310001,57.644287,1242000
2017-12-07,57.259998,64.760002,57.000000,64.459999,63.724068,4210200
2017-12-08,66.500000,70.459999,66.000000,69.959999,69.161278,5000800
2017-12-11,71.419998,73.199997,69.510002,69.760002,68.963562,2574700
2017-12-12,67.000000,69.720001,66.620003,69.720001,68.924026,2108200
2017-12-13,71.150002,72.500000,68.599998,68.800003,68.014526,2413800
2017-12-14,67.889999,70.500000,66.809998,69.199997,68.409950,1597400
2017-12-15,69.550003,69.900002,68.410004,69.410004,68.617561,1060800
2017-12-18,71.410004,71.510002,68.500000,68.790001,68.004639,1199800
2017-12-19,69.110001,69.260002,66.419998,66.919998,66.155983,1142400
2017-12-20,67.500000,69.970001,66.510002,69.620003,69.234962,1122200
2017-12-21,69.620003,73.290001,69.239998,72.209999,71.810646,2689500
2017-12-22,71.599998,74.180000,70.540001,72.860001,72.457047,1343300
2017-12-25,72.860001,72.860001,72.860001,72.860001,72.457047,0
2017-12-26,73.199997,75.959999,72.739998,75.489998,75.072502,1858200
2017-12-27,76.449997,78.000000,76.449997,77.300003,76.872498,1285000
2017-12-28,78.699997,80.220001,77.809998,80.220001,79.776344,2872700
2017-12-29,80.220001,80.220001,80.220001,80.220001,79.776344,0
2018-01-02,80.900002,82.379997,78.410004,79.300003,78.861435,1857100
2018-01-03,79.000000,81.360001,77.519997,78.300003,77.866966,1293300
2018-01-04,80.000000,80.519997,79.300003,80.180000,79.736565,1498000
2018-01-05,80.449997,80.910004,78.349998,78.599998,78.165298,958900
2018-01-08,78.500000,80.110001,78.349998,78.610001,78.175247,899900
2018-01-09,79.250000,79.610001,76.300003,76.720001,76.295700,969500
2018-01-10,76.580002,78.500000,75.639999,77.500000,77.071381,1086400
2018-01-11,78.500000,78.779999,77.260002,77.639999,77.210609,555200
2018-01-12,76.769997,78.459999,76.400002,77.559998,77.131050,851100
2018-01-15,78.199997,79.230003,77.800003,78.900002,78.463646,627400
2018-01-16,79.000000,80.050003,78.239998,78.699997,78.264740,773000
2018-01-17,79.190002,79.599998,78.160004,78.779999,78.344299,485100
2018-01-18,79.010002,79.199997,76.519997,77.489998,77.061432,1064600
2018-01-19,77.660004,78.599998,76.750000,76.750000,76.325531,550900
2018-01-22,77.750000,77.800003,75.820000,77.000000,76.574150,659900
2018-01-23,76.720001,76.980003,74.610001,74.760002,74.346542,952200
2018-01-24,75.000000,81.000000,74.980003,80.989998,80.542084,2221700
2018-01-25,80.989998,80.989998,80.989998,80.989998,80.542084,0
2018-01-26,82.000000,84.500000,81.000000,82.800003,82.342072,2052400
2018-01-29,82.000000,84.599998,81.019997,84.599998,84.132118,808800
2018-01-30,84.470001,86.480003,83.360001,84.660004,84.191788,1123500
2018-01-31,86.010002,86.360001,84.110001,84.559998,84.092339,1033600
2018-02-01,84.300003,85.989998,84.300003,85.860001,85.385147,869000
2018-02-02,85.699997,85.699997,83.500000,83.860001,83.396217,985400
2018-02-05,83.500000,83.500000,80.629997,80.629997,80.184067,940500
2018-02-06,78.800003,81.800003,78.150002,81.639999,81.188492,1386600
2018-02-07,81.699997,81.699997,78.900002,79.000000,78.563087,1118800
2018-02-08,80.010002,80.500000,75.709999,76.000000,75.579681,1369000
2018-02-09,76.500000,77.099998,72.320000,73.889999,73.481354,1606500
2018-02-14,74.510002,74.699997,72.209999,74.699997,74.286873,1846100
